decile,total_data_points,events,non_events,event_rate,cum_events,cum_non_events,cum_event_rate,cum_non_event_rate,ks
10,38149,562,37587,0.0147,562,37587,37.44,9.7,27.7419
9,39638,290,39348,0.0073,852,76935,56.76,19.85,36.9081
8,38055,209,37846,0.0055,1061,114781,70.69,29.62,41.0655
7,37976,161,37815,0.0042,1222,152596,81.41,39.38,42.033
6,40102,118,39984,0.0029,1340,192580,89.27,49.7,39.576
5,36980,87,36893,0.0024,1427,229473,95.07,59.22,35.8514
4,41201,60,41141,0.0015,1487,270614,99.07,69.84,29.2318
3,38925,14,38911,0.0004,1501,309525,100.0,79.88,20.123
2,38431,0,38431,0.0,1501,347956,100.0,89.79,10.2054
1,39546,0,39546,0.0,1501,387502,100.0,100.0,0.0
